Group id,Group,Code,Contact name (for reference only - will not be used in UI)
1,Administrative,C070,Case Allocated
1,Administrative,C113,Clerical Officer Contact
1,Administrative,C256,Order/ Licence Received
1,Administrative,CCTR,Component Termination Removed
1,Administrative,CMS29,CMS - Case Related Communication - Medium
1,Administrative,CMS28,CMS - Case Related Communication - Low
1,Administrative,CMS30,CMS - Case Related Communication - High
1,Administrative,CMS33,CMS - Assistance with Assessments - High
1,Administrative,CMS02,CMS - Sentence Plan Intervention Delivery - Medium
1,Administrative,CMS03,CMS - Sentence Plan Intervention Delivery - High
1,Administrative,CMS05,CMS - Completing & Assisting with Referrals-Medium
1,Administrative,CMS04,CMS - Completing & Assisting with Referrals - Low
1,Administrative,CMS06,CMS - Completing & Assisting with Referrals - High
1,Administrative,CMS01,CMS - Sentence Plan Intervention Delivery - Low
1,Administrative,CMS32,CMS - Assistance with Assessments - Medium
1,Administrative,CMS13,CMS - Information & Intelligence Gathering - Low
1,Administrative,CMS14,CMS - Information & Intelligence Gathering- Medium
1,Administrative,CMS15,CMS - Information & Intelligence Gathering - High
1,Administrative,CMS31,CMS - Assistance with Assessments - Low
1,Administrative,CMS18,CMS - Home & Prison Visits - High
1,Administrative,CMS11,CMS - Assistance with Case Conferencing - Medium
1,Administrative,CMS12,CMS - Assistance with Case Conferencing - High
1,Administrative,CMS08,CMS - Attending Partnership Meetings - Medium
1,Administrative,CMS17,CMS - Home & Prison Visits - Medium
1,Administrative,CMS09,CMS - Attending Partnership Meetings - High
1,Administrative,CMS27,CMS - Court Liaison & Applications to Court - High
1,Administrative,CMS10,CMS - Assistance with Case Conferencing - Low
1,Administrative,CMS26,CMS - Court Liaison & Applications to Court-Medium
1,Administrative,CMS07,CMS - Attending Partnership Meetings - Low
1,Administrative,CMS16,CMS - Home & Prison Visits - Low
1,Administrative,CMS36,CMS - ROTL Assessments & Support - High
1,Administrative,CMS35,CMS - ROTL Assessments & Support - Medium
1,Administrative,CMS25,CMS - Court Liaison & Applications to Court - Low
